P00027739T0000|0 28|Serum gamma glutamyltransferase
P02739739T0000|37 62|steroid receptor superfamily
P08832146A0959|37 59|bone alkaline phosphatase
P11063252A0437|37 59|HSL translation start site
P09268661A1405|37 56|reverse transcriptase
P01748292A0000|37 56|G protein alpha subunit
P02846640A0643|37 54|indoxyl phosphatase
P08001136T0000|37 51|RNA polymerase II
P09587549T0001|37 51|interferon alpha
P09990315A0205|37 50|protein kinase C
P10777217A0536|37 48|PIG3 promoter
P08923460A0565|37 47|RUSH-1 alpha
P07557446T0000|37 45|VCSA1 gene
P01554334A0000|37 45|IFN-gamma
P09456312A1064|37 43|RanGAP1
P06208024A0168|37 42|DNase I
P08990168A0688|37 41|STAT1
P09815578A1245|37 41|CDKN2
P11459962A0785|37 41|Rad52
P10390158A1150|37 41|Pit-1
P10073947A1110|37 41|PAI-1
P11118438A0411|37 40|Pin1
P10556046A0328|37 40|ALK2
P01675763A1389|37 40|CD4+
P09780228A0613|37 40|FkbC
P11158310A0993|37 40|NF-Y
P11264182A0000|37 39|Tax
P10207115A0389|37 39|p21
P09575217A0971|37 39|SH2
P02590869A0743|37 39|IgG
P09285715A1257|37 39|Rev
P10727426A1280|37 39|CDK
P10722737A1726|37 39|Sp1
P08937981A0840|37 39|p54
P08754777A1214|37 39|T3R
P10938109A1361|37 39|Ras
P09287362A0589|37 39|p50
P08922390A0361|37 39|FAK
P00101300A0257|37 38|T1
P08723352A0084|37 38|G1
P08910373A0315|37 38|Y1
P11032599T0000|38 75|hematopoietic colony-stimulating factors
P10918440T0000|38 72|granulocyte colony-stimulating factor
P08663120T0000|38 67|mitogen-activated protein kinase
P09710582A0535|38 67|mitogen-activated protein kinase
P07519447T0000|38 67|endothelial nitric oxide synthase
P10095062A0558|38 66|human topoisomerase IIalpha gene
P04004168A0000|38 61|triosephosphate isomerase
P08887674A0920|38 61|cyclin D-dependent kinases
P09484463T0000|38 58|auxin-binding proteins
P10448902A0921|38 58|glutathione peroxidase
P07260389A0221|38 55|serotonin receptors
P09512559T0000|38 54|nerve growth factor
P09650299A1334|38 53|VirD2 omega domain
P08076631A0000|38 53|vitamin D receptor
P04033402A1112|38 52|HDL-cholesterol
P11410679A0000|38 51|Cre recombinase
P10861080A0433|38 49|IkappaBalpha
P11247663A1447|38 49|DNAH9 alleles
P01895384A0746|38 48|IE1 promoter
P08561893A0100|38 48|bHLH factors
P07933101A0131|38 48|TATA element
P09545312A1197|38 48|HMG-I family
P09601510A0215|38 47|FV pol genes
P09092580A1354|38 46|MAP kinase
P10855690A0870|38 46|MAP kinase
P11278290A1220|38 45|TGF-beta
P08383850A0206|38 45|beta-FNA
P07856102A1616|38 45|M protein
P09701821A1108|38 44|opuE P-1
P03972185A0137|38 44|insulin
P08626610A0931|38 44|SREBP-1
P07896852T0000|38 42|Egr-1
P09882303A1984|38 42|TRAF2
P10403575A1401|38 42|DAX-1
P09182990A0245|38 42|SUP45
P09111340A0240|38 42|c-myc
P01954355A0997|38 41|IL-1
P08425050A0898|38 41|rpeA
P10074425A0729|38 41|Cdk2
P09645961A1158|38 41|NF-Y
P11007954A0170|38 41|Grb2
P10564472A0853|38 41|TraR
P02335713A0905|38 40|PbB
P09234720A1015|38 40|MEK
P08580083A0259|38 40|Fyn
P08474464A0348|38 40|Rev
P09162092A0675|38 40|p38
P10854004A0788|38 40|ERT
P08268718A0676|38 40|p50
P07957106A0471|38 40|GST
P08626493A1468|38 40|E1A
P08619866A0000|38 40|HGF
P11278855A0205|38 40|p65
P01333317A1008|38 40|Sp1
P07937841A0790|38 40|p53
P10585480A0157|38 40|Sos
P09271393A1333|38 40|Tax
P07779811A0901|38 40|Sp1
P10479025A0528|38 39|TF
P03372422A0558|38 39|N2
P10679065A1217|39 70|chloramphenicol acetyltransferase
P09827993A0000|39 65|CCHC-type zinc finger proteins
P02837575A0979|39 62|eukaryotic topoisomerase I
P03499657A0000|39 62|serum alkaline phosphatase
P11898797A0124|39 62|choline acetyltransferase
P08045431A0894|39 61|rubredoxin-like proteins
P07543592A0624|39 56|wild-type E5 protein
P07959011A0379b|39 55|rat class-I ADH gene
P09551096A0108|39 55|ribosomal subunits
P07959011A0379a|39 55|rat class-I ADH gene
P00959656A0250|39 53|antithrombin III
P09417870A0105|39 52|protein kinase C
P02160955A0899|39 51|GT-rich region
P10487040A0453|39 51|p53 antibodies
P02556264A0278|39 49|kappa B motif
P08625987A1086|39 48|VpreB genes
P01767899A0136|39 48|fibrinogen
P11050084A0888|39 47|PPARgamma
P08892757T0000|39 47|Ets family
P07862150A0429|39 46|TGF-beta
P08219227A0830|39 46|AP-1 site
P09398332A0732|39 44|CTLA-4
P08676454A0731|39 43|ICP35
P11069897A1112|39 43|BACH1
P08129955A0572|39 43|CK-MB
P10898795A0527|39 43|HDACs
P01730412T0000|39 43|c-Myc
P09049304A1193|39 43|Egr-1
P09528770A1379|39 42|cAPK
P09479498A0000|39 42|RNF4
P10395283A0960|39 42|OP-1
P08876701A0177|39 42|DinB
P08406004A0691|39 42|PU.1
P08139542A1229|39 42|CPA1
P02162754A0801|39 42|pp15
P09309457A0680|39 42|HDL2
P08703908A1814|39 42|SF-1
P09922230A1482|39 42|CAP1
P08599946A0999|39 41|p40
P08985115A1571|39 41|p40
P01418272A1072|39 41|CEA
P10756100A0457|39 41|IB1
P10559364A0846|39 41|IE2
P09651367T0000|39 41|Ras
P09308234A0225|39 41|Myc
P08881036A0351|39 41|CL2
P08552082A0480|39 41|CAP
P02745666A0000|39 40|E2
P07526609A0736|39 40|S1
P07789342A1352|39 39|R
P02865502T0000|40 70|tissue-type plasminogen activator
P09278445T0000|40 60|yeast RNA polymerase III
P01328884T0000|40 58|MHC class II molecules
P09748261A0000|40 58|acyl-CoA synthetases
P09417082A0127|40 56|urokinase receptor
P08264591A1190|40 54|RNA polymerase II
P10882850A0000|40 53|DNA glycosylase
P09045842T0000|40 52|RNA polymerase
P09310836A1019|40 51|SV40 promoter
P09573202A0900|40 51|alpha subunit
P06675047A0000|40 49|hemoglobin
P02115889A0436|40 48|human gene
P01316476A1428|40 48|ORF 62 gene
P11094072A0842|40 48|c-Myb site
P11090272A1240|40 48|human ORL1
P08808927A0417|40 47|vspA gene
P07739542A1419|40 47|cyclin D1
P07678051A1303|40 47|PLC gamma
P08882492A0000|40 47|Hox genes
P08226777A0936|40 45|DdPTPa
P10359664A0579|40 45|MARCKS
P00918556A0000|40 44|HBsAg
P10359663A1280|40 44|c-Jun
P10913276A0510|40 43|SOS1
P11522658A0870|40 43|MAPK
P08910292T0000|40 43|Rac1
P08139543A0427|40 43|SLT2
P08617216A0584|40 43|DnaK
P01324385A0329|40 42|IgG
P07823919A1422|40 42|RAR
P02482293A1518|40 42|TNF
P08454591A1322|40 42|TNF
P09524250A0767|40 42|AP1
P09668063A0274|40 42|Ras
P11418662A0917|40 42|p50
P08119995A0814|40 42|RXR
P09528766A0915|40 42|p38
P08798782A0976|40 42|SH2
P10630630A0614|40 42|PKC
P00101300A0257|40 41|T2
P10983979T0000|40 41|U6
P02549036A0000|41 92|lambda repressor-like transcriptional regulatory protein
P11263664T0000|41 77|delta-crystallin enhancer binding factor
P08892755A0981|41 72|chloramphenicol acetyltransferase
P08621384A0935|41 69|epidermal growth factor receptor
P09528950A0716|41 62|luciferase reporter gene
P05000171T0000|41 61|horseradish peroxidase
P07983716A1082|41 60|reverse transcriptase
P00656008T0000|41 59|superoxide dismutase
P09755199A0373|41 56|Scm mutant alleles
P00606849T0000|41 53|thromboxane A2
P10488148A0111|41 49|HIV-1 gene
P10542237A0357|41 49|PPARalpha
P08281634A1801|41 48|ferritin
P11685047A0301|41 48|thrombin
P09852068A0150b|41 46|DNase I
P10064604A0824|41 46|TFIIIA
P09642238A1285|41 46|GATA-1
P09694869A0932|41 45|STATs
P07872673A0332|41 45|c-fos
P08627667A0132|41 45|c-Fos
P09325022A0192|41 44|CD-1
P10567538A1028|41 44|p300
P08269424A0339|41 43|TRH
P11116148A0741|41 43|PKB
P09006914A1127|41 43|JNK
P09049198A0289|41 43|p21
P09010223A1850|41 43|SRF
P10976413A0514|41 43|FSH
P08910550A0501|41 43|CBF
P11287623A0286|41 43|MEK
P11012680A0676|41 43|SH2
P10744749A0315|41 43|Tax
P10542274A1376|41 43|PKA
P11358958A0878|41 43|E1A
P08631760A0609|41 43|Crk
P09560221A0282|41 43|CAK
P09368057A1083|41 43|SRF
P08754777A1214|41 43|RXR
P09419421A0385|41 43|CBF
P08948440A0628|41 43|An3
P11080796A1277|41 43|Tax
P09364211A0319|41 43|E2F
P08617802A0993|41 43|SH2
P10942587A0981|41 42|Rb
P11345435A0199|41 42|P3
P09171081T0000|42 72|bacteriophage-type RNA polymerase
P10079173A0000|42 69|RNP-type RNA recognition motifs
P09060444A0557|42 63|luciferase reporter gene
P11356853A0429|42 63|luciferase reporter gene
P09710614T0000|42 61|CD2 cytoplasmic domain
P07623814A1040|42 58|estrogen receptors
P07616569A0168|42 58|cytochrome oxidase
P07657705A1181|42 57|GPI-anchored HSPG
P08034486A0579|42 54|HSV-1 antibody
P00431832T0001|42 53|beta receptor
P07903099A0918|42 51|IVS2C beta 1
P11524015A0937|42 51|H4 promoter
P01296815A0059|42 50|LD78 gamma
P08089184A0825|42 50|dagA locus
P07693708A0000|42 49|IGF-BP-2
P08923470A0458|42 49|TNF alpha
P07596558A0824|42 49|IL-1 beta
P02061333A0784|42 49|acvA gene
P09751166A1460|42 48|Sp1 site
P01901405A0694|42 47|AT-BP2
P08887661A0138|42 46|IRF-2
P08529662A0507|42 46|ERp57
P11145566A0000|42 46|HDL-R
P08387155A1248|42 46|c-Jun
P11016954A0438|42 46|RDE-1
P07761420A0909|42 46|CCaMK
P01855255T0000|42 45|RCC1
P02326946T0000|42 45|LCAT
P09199328T0000|42 45|VP16
P09092493A0861|42 45|AP-1
P08595878A0201|42 45|PP2A
P07949164A0799|42 45|IL-6
P09862343A0225|42 45|IL-4
P11529914T0000|42 45|CD40
P08134115A1161|42 44|GST
P08770981A0328|42 44|vWF
P09087430A1046|42 44|BSA
P11314030A1264|42 44|Crk
P08044794A0000|42 44|p53
P11070078A1153|42 44|p53
P07547500A0066|42 44|p40
P08576546A0975|42 44|PDC
P05779953T0000|42 44|FSH
P00593119T0001|42 44|IgE
P09829843A0119|42 44|CSF
P11113179A0541|42 44|CBP
P07530128A0578|42 44|PSA
P09032267A0850|42 44|CBP
P07491791A0263|42 44|E1A
P07745726A0960|42 43|E2
P08532516A0000|42 43|C4
P02466414A0000|42 43|Ep
P11559366T0000|43 80|plasminogen activator inhibitor type 1 gene
P01346534T0000|43 77|leucine-responsive regulatory protein
P07672822T0000|43 74|mouse pre-T-cell receptor alpha gene
P10585480A0157|43 73|guanine nucleotide exchange factor
P09837978T0093|43 71|stress-activated protein kinase
P07935997A0000|43 62|serum immunoglobulins
P07490742A0636|43 61|dsRNA binding domains
P09121435A1183|43 59|TFIIIB-DNA complex
P10049742T0000|43 59|DNA-binding domain
P02398897A0000|43 57|RNA polymerase II
P09364440A2206|43 57|FSH receptor gene
P07826625X0000|43 57|RNA polymerase II
P07888828A0765|43 54|RH-like genes
P06084279A0218|43 54|serum amylase
P08035796A0890|43 52|eIF-2 alpha
P09465783A0449|43 50|collagen
P08139542T0000|43 50|CPA1 gene
P09469820A0151|43 50|YAP1 uORF
P08532536A0925|43 50|TGF-beta
P09089653A1112|43 49|DNase-I
P07528772A0616|43 48|ZAP-70
P01535242A0557|43 48|GM-CSF
P10541865A1301|43 48|CDKN2B
P08078473A1107|43 47|ste13
P09115365A0000|43 47|hsp70
P08798443A1218|43 47|c-Myb
P11062705A0658|43 47|ATF-2
P10524258A0286|43 47|cek-1
P10805738A0799|43 46|MyoD
P02024816A0521|43 46|SP-A
P08816472T0000|43 46|Byr2
P09211913A0000|43 46|ARNT
P09595496A0000|43 46|ET-1
P09263010T0000|43 46|CD23
P10625683A0091|43 46|PTKs
P09891707A0000|43 45|SpA
P09794414T0000|43 45|DRA
P09622121A0525|43 45|PTB
P09553143A0729|43 45|Erk
P10402467T0000|43 45|Ras
P10362652A0350|43 45|Ras
P09307065A0553|43 45|TCR
P11093745A0563|43 45|NF1
P10587460A0302|43 45|VDR
P07440430A1074|43 44|Hb
P07780148A1153|43 44|G2
P09369450A1358|43 44|GR
P10905349A0329|44 69|XPF endonuclease superfamily
P00100540T0000|44 66|platelet cyclo-oxygenase
P08603921A1346|44 64|calmodulin binding site
P08223554A0574|44 60|recombinant enzyme
P09529156A1238|44 59|PKC consensus site
P00331936T0000|44 59|immunoperoxidase
P09845662A0085|44 58|type III collagen
P10087993A0782|44 56|delta promoter
P09528766A0915|44 56|MAPKAP kinase 2
P08234276A0556|44 55|IL-8 promoter
P10383764A1809|44 54|VirB4 dimers
P09428799A0897|44 53|human genes
P01350932A1123|44 53|C-terminus
P07935451T0000|44 52|NF-kappa B
P11554469A1386|44 52|CesA genes
P11152451A1580|44 51|TGF-beta
P08946166A0568|44 51|FRDS gene
P02437792T0000|44 50|trypsin
P09843412A0130|44 50|Abeta42
P01931966A0490|44 49|pADPRP
P09013760A0000|44 49|CYP11A
P07961957A1565|44 48|TEF-1
P11577094A1226|44 48|HSAL2
P11222720A1699|44 48|EBNA2
P10642524A0156|44 48|hsp90
P08413205A0733|44 48|Pax-8
P10600171A1432|44 48|E-box
P10430886A0838|44 47|TraR
P08896280A0860|44 47|IME1
P08683108A0965|44 47|CREB
P10488148A1267|44 47|AP-1
P07860208A0000|44 47|IL-1
P08934533A0784|44 47|junB
P01324172A0880|44 47|RIM1
P09199292A0536|44 47|p130
P11466227A1665|44 46|FSH
P11158295A0158|44 46|Csk
P09309457A0680|44 46|LDL
P09819288A0578|44 46|IgE
P11335710A0320|44 46|Erk
P11323411A0505|44 46|SH2
P07525843A0859|44 46|3-4
P09712037A0470|44 46|Fyn
P11108151A0560|44 46|PKC
P10854004A0788|44 46|HRT
P07823919A1422|44 46|RXR
P07568118A1267|44 46|Shc
P07537851A0891|44 46|p50
P08524292A1022|44 46|YY1
P01082726A0248|44 45|DC
P09256973A0455|44 45|G2
P09337861T0000|44 45|C2
P11287623A0286|45 79|extracellular signal-regulated kinase
P01772341A0852|45 65|thromboxane synthetase
P02167467T0000|45 63|bacterial protein L11
P10579722T0000|45 61|myosin phosphatase
P05474466T0001|45 60|rheumatoid factor
P08918918T0000|45 59|viral Tat protein
P09581872A0000|45 57|type I collagen
P10556063A0092|45 56|Trk subfamily
P01333035T0000|45 56|alpha subunit
P07007591A0324|45 55|transferrin
P10330146A0730|45 54|luciferase
P07528325A0165|45 54|GH receptor
P02745444A0391|45 54|S1 nuclease
P09582953A1097|45 54|fibrinogen
P02044950A0258|45 54|U6 RNA genes
P08103379A0577|45 54|MADS domain
P10873386A0000|45 53|mouse gene
P01447189T0000|45 53|RNK-Met-1
P01116466A0185|45 52|thrombin
P07914192A0211|45 50|DNase I
P09703021A0000|45 50|AANATs
P11208017A0070|45 50|SCOF-1
P07902583A0545|45 49|Grf10
P07537362A1112|45 49|v-Src
P09832436A0738|45 49|PLP-D
P07524265T0000|45 49|G-CSF
P09287352A0930|45 49|SHP-1
P10359014A1077|45 48|MAPK
P10564479A0384|45 48|FdsR
P10597232A0000|45 48|ELE1
P08710377A0577|45 48|Grb2
P10205176A0704|45 48|PSU1
P08990168A0688|45 48|JAK1
P10559303A0000|45 48|LMP1
P09233809A0381|45 48|lacZ
P01695116A0078|45 47|CR1
P09882303A1984|45 47|JNK
P10536369A0662|45 47|VDR
P09832504A0596|45 47|Tat
P01954355A0997|45 47|TNF
P11435578A0760|45 47|CRE
P09006914A1127|45 47|p38
P08394019A0695|45 47|Fyn
P09620606A0000|45 47|TCR
P10330168A0135|45 47|Clb
P09652736A1205|45 47|p53
P11005808A1082|45 47|ERK
P10585491A0945|45 47|CBF
P09548481A0000|45 46|P1
P10865422A0138|45 46|Hb
P01603088A1121|45 46|TR
P11853943A0122|45 45|R
P01542686A0000|46 84|Rel-related human p75 nucleoprotein complex
P07715602A1088|46 77|multisubunit cytochrome c haem lyase
P07918097T0000|46 74|epidermal growth factor-repeats
P10455143T0000|46 72|human glucocorticoid receptor
P10702926T0089|46 68|alpha beta T cell receptors
P07935491A0495|46 67|orphan nuclear receptors
P04088936T0001|46 65|plasminogen activator
P09118664A1734|46 64|nitric oxide synthase
P10393201A0654|46 62|DNA polymerase beta
P01876836T0000|46 61|GA binding protein
P10729221A0798|46 61|Kv4 family members
P03065140A0273|46 61|DNA binding domain
P10496284A0115|46 60|immunoglobulin G
P08383526A0591|46 60|receptor protein
P09343433A0000|46 60|RNA polymerase II
P02761540A0873|46 58|AP-1 sequences
P11376007A0584|46 58|protein kinase
P06073427T0001|46 55|interferon
P01328197A0985|46 54|MAP kinase
P09679066A1352|46 54|SR protein
P07964162A0941|46 54|MAP kinase
P11145590A0217|46 54|TGF-beta1
P11023832A1038|46 53|TNFalpha
P08636124A0410|46 52|p150TSP
P06208024A0168|46 52|RNase T1
P09272138A1153|46 52|rhG-CSF
P08838805T0000|46 51|CTNNB1
P09670943T0000|46 50|SHP-2
P01990266A0678|46 50|UHF-1
P08683106A0374|46 50|STAT5
P10827952A0158|46 50|TFIID
P02188096A0955|46 50|c-myb
P11432776A0421|46 50|Graf2
P09990060A0937|46 49|p300
P11276426A0501|46 49|Smc3
P08918456A0455|46 49|AP-2
P11230145A0732|46 49|CBF1
P09419421A0385|46 49|TKC1
P10455189A0427|46 49|HEF1
P11743360A2491|46 49|IL-6
P02355920A0681|46 48|SP1
P08654435A0540|46 48|TCR
P10611228A1388|46 48|p97
P10721714A1087|46 48|Sp1
P08621420A1166|46 48|p50
P08037338A0000|46 48|EPO
P08970991A0747|46 48|p53
P08637717A0817|46 48|p21
P08178446A1160|46 48|ras
P10022880A0000|46 48|Ras
P08199204A0746|46 48|PKC
P00101300A0257|46 47|N0
P09389137A0763|46 47|L2
P07518257A0351|46 47|P1
P08170400T0000|47 80|Escherichia coli transcription factor
P09638485A0111|47 74|leukocyte alkaline phosphatase
P11062274T0000|47 72|tissue plasminogen activator
P09584179A0673|47 70|transcription factor Adf-1
P09726979T0000|47 69|murine sphingosine kinase
P02111015A0574|47 63|DNA-binding domain
P08649372A0501|47 63|MCB-binding factor
P10454561A0594|47 61|TD-IkappaBalpha
P09583208A0171|47 58|serum albumin
P11324516A0159|47 56|D2 receptor
P09797189A0559|47 56|CCAAT motif
P10068040A0136|47 55|ubc-9 gene
P10508522A1598|47 54|EWS-FLI1
P02217741T0001|47 53|insulin
P01594554A0845|47 53|trypsin
P11074210A0623|47 53|insulin
P01130186A0568|47 53|insulin
P01328681A0149|47 51|c-myc
P11114718A0349|47 51|v-Src
P10523640A0367|47 51|Stat3
P09294161A0650|47 51|NF-E2
P08910292T0000|47 51|Cdc42
P01674817A0862|47 51|RNA14
P09515031A1020|47 51|c-fos
P09094671A1192|47 50|Mts2
P07983715A0996|47 50|NF-Y
P08300601A0745|47 50|MyoD
P11196199T0000|47 50|p300
P10333481A1102|47 50|PLAP
P09949178A0264|47 50|IL-6
P10501034A0839|47 50|hmg2
P11390684A1170|47 50|jadM
P08497280T0000|47 50|SWI4
P09949160A0600|47 49|PKC
P07949164A0799|47 49|CAT
P02590869A0743|47 49|IgG
P03127463A1017|47 49|CSF
P10380232A0000|47 49|CEA
P09891046A0554|47 49|PKR
P10402467T0000|47 49|ERK
P11073870A0375|47 49|PHC
P09639558A0957|47 49|IgG
P10611242A0541|47 49|TBP
P09829836A0815|47 49|CDK
P02480959A0470|47 49|hCG
P08649425T0000|48 81|mouse immunoglobulin kappa 3' enhancer
P07580058A0000|48 78|tissue-type plasminogen activator
P09820611T0000|48 77|recombinant human erythropoietin
P10409724A1021|48 75|immediate-early response genes
P02577458A0412|48 74|angiotensin converting enzyme
P08723352A0084|48 70|cyclin-dependent kinases
P11062067A0000|48 68|c-Jun N-terminal kinase
P09813041A1122|48 66|Jun N-terminal kinase
P01398104A0834|48 65|RNA-binding protein
P08383622T0000|48 64|cytochrome oxidase
P01438287T0000|48 63|recombinant genes
P11302566A1318|48 63|dopamine receptor
P07832779A0719|48 62|mutant receptors
P08951815A0465|48 58|lacZ fusions
P01718043A0384|48 58|PMN elastase
P08530107A1003|48 56|histidase
P08378082A1031|48 56|RB protein
P10085140A1004|48 55|TGF-beta
P08449986A0455|48 55|MMI alpha
P08125258A0142|48 55|CHOP gene
P07509053A0139|48 52|c-Myb
P11168588T0000|48 52|Cdc42
P09045636A0789|48 52|Sam68
P09797456A0883|48 52|c-myc
P09442080A0856|48 52|SHP-1
P07730795A0104|48 52|DdRPs
P10567582A1334|48 52|CtBP2
P09774662A0958|48 51|E2F1
P09046384A0403|48 51|CD4+
P08621542A0535|48 51|JNKs
P11005808A1082|48 51|MAPK
P09121430A0132|48 51|MAPK
P08124912A0456|48 51|IL-8
P01970560A1024|48 51|lacZ
P11513579A0372|48 51|Rac1
P07514301A0000|48 50|PKR
P10049359A1073|48 50|PTB
P08394019A0695|48 50|SH2
P09538258A0200|48 50|Ras
P11373277A0812|48 50|E1A
P09660836A0983|48 50|MEK
P08910373A0315|48 50|PP1
P07537851A0891|48 50|p65
P07673128A0989|48 50|CRE
P08973630A0923|48 50|Rho
P09271393A1333|48 50|CBP
P09335298A1227|48 50|RK2
P09202859A0091|48 50|HCG
P03102289A0786|48 50|hCG
P08173532A0000|48 49|S2
P11070078A1153|48 49|Rb
P09792627A0441|48 49|GR
P08621659A0189|49 81|epidermal growth factor-like repeats
P09209031A0350|49 71|serine carboxypeptidases
P01243628A0286|49 65|carboxyhemoglobin
P09191052A0850|49 65|Class I Hox proteins
P10562456T0000|49 65|growth hormone gene
P01906509A0072|49 64|human nidogen gene
P01766876A0000|49 64|mu heavy chain gene
P04138224T0095|49 62|gamma-globulin
P01431809T0000|49 62|polyhedrin gene
P02069873X0000|49 58|human locus
P08710504A0995|49 58|cat1 mutant
P02686588A0592|49 58|hemoglobin
P09368026A0435|49 58|OC promoter
P09030581A0990|49 58|MAP kinases
P02935638A0000|49 57|Spec1 gene
P11133741A0617|49 57|NF-kappaB
P00918556A0000|49 56|anti-HBs
P08289834A0341|49 56|TGF-beta
P09596542A0542|49 56|collagen
P09148903A1715|49 56|HIV-1 LTR
P02476664A0563|49 56|human K14
P00499588T0000|49 55|insulin
P09669641A0425|49 55|amylase
P09053835A0865|49 55|p53 mRNA
P03544858A0374|49 55|insulin
P08207232A0503|49 55|NF-IL-6
P11069999A1602|49 54|HIV LTR
P10811804A0000|49 53|MKP-3
P07499242A0898|49 53|RAFTK
P10727433A0560|49 53|CSF-1
P10359663A1280|49 53|c-Fos
P11027280A0536|49 53|Smad4
P09647240A0000|49 52|STAT
P10825200T0000|49 52|IL-2
P10068674A0644|49 52|Lyp2
P08704240A1111|49 52|CREB
P11038366A1417|49 52|PP2A
P03963860A0137|49 52|MY-1
P07623840A0352|49 52|GCN2
P09238860A1974|49 52|CREB
P08995681A0518|49 52|ICP4
P09252406A0511|49 52|Grb2
P08617802A0993|49 51|SH2
P10377438A0647|49 51|TEL
P08421910A0599|49 51|p30
P07969954T0000|49 51|IgM
P11193045A1193|49 51|p53
P09769910A1700|49 51|TNF
P09747873T0000|49 51|BCR
P01546522A0000|49 51|PML
P01383690A1023|49 51|BCR
P08550425A1401|49 51|POR
P07516469A1025|49 51|Src
P08918934A0424|49 51|p62
P00101300A0257|49 50|N1
P10536369A0662|49 50|TR
P07872673A0332|49 50|Rb
P01309587A0715|49 49|Z
P07935468T0000|50 78|epidermal growth factor receptor
P11179687A0280|50 77|protein-tyrosine phosphatases
P09234696A0238|50 73|mitogen-activated protein
P08757943A0876|50 72|thymidine kinase promoter
P09733815T0000|50 70|protein tyrosine kinase
P02884860A0329|50 68|alpha 1 adrenoceptors
P11113179A0541|50 65|estrogen receptor
P07874060A0810|50 64|xanthine oxidase
P09804779A0000|50 63|protein kinases
P02201905A1004|50 60|RAP1 protein
P11371115A0962|50 59|HBs antigen
P10775623A0120|50 57|env genes
P10604945A0731|50 57|Sp1 sites
P01895393A0745|50 57|Sp1 sites
P08119907A0000|50 56|insulin
P09920903A1045|50 56|p53 gene
P09572491A1044|50 56|p53 gene
P07501458A0578|50 56|CHOP-10
P01347664A1026|50 56|CAD mRNA
P10585440A0204|50 55|DFak56
P01850105A1093|50 54|c-myc
P09210478A0000|50 54|HIF-1
P11403719A1257|50 54|egr-1
P08075421A0621b|50 54|HrpJ2
P08075421A0621a|50 54|HrpJ2
P09685346A0419|50 54|Pit-1
P04757217T0000|50 53|LCAT
P07557424A0124|50 53|lacZ
P08626325A0543|50 53|UmuD
P07835273A0411|50 53|EGFR
P08415643A0555|50 53|RCC1
P02055484A0538|50 53|ATG2
P08145646T0000|50 53|RpoN
P07896817A0204|50 53|VEGF
P10413604A0063|50 53|PKAs
P08637717A1231|50 53|PCNA
P07814323A0313|50 53|FliR
P09790771A1032|50 53|Gng3
P07789809A1246|50 52|Ypt
P11279207A0904|50 52|TCR
P11333268A1521|50 52|Sos
P08640866A0473|50 52|PHA
P09215525A0581|50 52|E2F
P07853524A1944|50 52|Tax
P10706475A0644|50 52|DPP
P08604338A0885|50 52|SRE
P09148935A0805|50 52|FAK
P08134108A0277|50 52|YY1
P09405685A0113|50 52|p53
P07914700A0000|50 52|PKR
P08005230A0222|50 52|EPO
P08654435A0540|50 52|CD3
P08428940A1763|50 51|PR
P08438584A0524|50 51|C1
P01720843A1506|51 77|angiotensin converting enzyme
P08276762T0000|51 76|gramicidin S synthetase 2 gene
P10627532A0739|51 74|mitogen-activated protein
P07871891A0227|51 69|ribosomal protein S13
P09393771A1659|51 69|RNA-binding proteins
P09218459A0000|51 69|DNA-binding proteins
P02850967T0000|51 66|adenylate cyclase
P01549125A0140|51 65|beta GK promoters
P09322738A0510|51 65|wild-type allele
P07687541A0992|51 64|ras superfamily
P09267431A0000|51 64|protein kinases
P11036938A1162|51 63|erbB receptors
P08955071T0000|51 59|human ORC1
P10805738A0799|51 59|p38 kinase
P09765411A0991|51 59|ubiquitin
P11669476A0346|51 59|TNF-alpha
P01537845A0571|51 59|c-myb gene
P07723247A1161|51 58|IL-1 beta
P11303027A0954|51 57|GTPases
P09858581A0183|51 56|SPP381
P10885750A0236|51 56|CREB-2
P11241356T0000|51 55|Smad3
P09773981A0415b|51 55|Stat5
P02196176A0749|51 55|TREB5
P02532032A0385|51 55|renin
P10913172A0442|51 55|Rad24
P01309587A0715|51 55|c-myb
P01420363A0818|51 55|c-Fos
P09144165A0614|51 54|AP-1
P09188094A0934|51 54|Spc1
P08482539A0913|51 54|xylP
P09413375A1486|51 54|IL-6
P08896280A0860|51 54|IME2
P07951410A0647|51 54|DP-1
P11535532A0189|51 54|IL-2
P02376023A0307|51 54|IgG1
P09789025A0149|51 53|SRF
P11230145A0732|51 53|RBP
P10544088A0308|51 53|CAT
P09111367A1098|51 53|p53
P08816452A0936|51 53|p54
P08810278A0682|51 53|BCR
P09366517A1828|51 53|WT1
P08945479T0000|51 53|Lck
P09660823A0934|51 53|Akt
P10329736A1106|51 53|p85
P01433524A0788|51 53|IE1
P11254713A1029|51 53|AP1
P07652575A0435|51 53|Rac
P09234703A0192|51 53|Rac
P01687050T0000|51 53|IgG
P01358880A0251|52 88|human cellular transglutaminase sequence
P02552143A0748|52 87|chloramphenicol acetyltransferase gene
P09566871T0000|52 85|mitogen-activated protein kinase Fus3
P02204621T0000|52 77|tRNA nucleotidyltransferase
P08632015A0879|52 77|DNA polymerase alpha promoter
P08395010T0000|52 72|retinoic acid receptors
P03036817A0213|52 70|NdeI restriction site
P09314537A1600|52 70|ezrin binding protein
P08906139A2935|52 70|alkaline phosphatase
P10568744A0728|52 70|alpha-specific genes
