P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P09380507A0514|30 32|E2F
P00464387A1185|30 32|IgE
P01722479A0302|30 32|HCG
P01083784T0000|30 32|IgE
P08428965A1868|30 32|CBP
P08760286A0696|30 32|Vav
P01774093T0000|30 32|IgM
P09704857T0000|30 32|CD4
P11355576A1125|30 32|CDK
P09305870A0894|30 32|p55
P10026824A0309|30 32|V1a
P06414990A0057|30 32|TRH
P07112320A0086|30 32|ADA
P07651386A0925|30 32|p53
P09835615A0574|30 32|KS1
P10747099A0507|30 32|ERK
P10521450A0437|30 32|Syk
P11005808A1082|30 32|Raf
P11071789T0000|30 32|ACE
P09827446T0001|30 31|C4
P09510925A0389|30 31|Hb
P10825293T0000|30 31|Fc
P10865422A0138|30 31|SF
P10400712A0577|30 31|IG
P10560997A1072|30 31|LH
P09276882A0479|30 31|CC
P11067928A0532|30 30|J
P11099377T0000|31 96|human UDP-d-Xylose:proteoglycan core protein beta-d-xylosyltransferase
P01993181T0000|31 76|Pseudomonas putida PpG7 salicylate hydroxylase gene
P10379942T0000|31 75|Marek's disease virus serotype 2 glycoprotein M gene
P07964458A0179|31 75|natural resistance-associated macrophage protein
P07799939A0628|31 74|PDGF-activated serine/threonine phosphoprotein
P10684967A0000|31 72|homeodomain-containing transcription factors
P09222115A0545|31 69|endogenous corticotropin-releasing factor
P07867604A1777|31 63|inhibin/activin beta B-subunit mRNAs
P09291098T0000|31 62|gamma-glutamyl transpeptidase gene
P10619353T0000|31 61|estrogen response element sequence
P02928112T0000|31 60|human U2 snRNA-specific A' protein
P02391344T0000|31 59|rat NADH-cytochrome b5 reductase
P09544991A0483|31 58|cytosolic tyrosine phosphatase
P10567581A0119|31 56|fork head homolog-11B protein
P09889202T0000|31 55|Z-DNA-binding domain Zalpha
P09464525T0000|31 55|recombinant single-chain Fv
P08932385T0000|31 54|human transcription factor
P08331067T0000|31 54|bacteriophage K1F tail gene
P06152670T0000|31 54|somatostatin-like hormone
P07665172A0000|31 51|basic helix-loop-helix
P10954913A0152|31 51|Atlantic halibut Mx gene
P08792217A1407|31 50|testicular TIMP-2 mRNA
P09234703A0192|31 50|Ras-related G proteins
P10318859A0535|31 50|tyrosine phosphatases
P09468386A0594|31 49|ETS DNA-binding motif
P09524222A1113|31 49|beta-adducin isoform
P09685346A0419|31 48|homeodomain protein
P08997532A0116|31 48|IgE immunoglobulins
P10466825T0000|31 48|baculovirus p10 mRNA
P03678269A0633|31 47|plasma cholesterol
P01989999A0000|31 47|L-aspartate ligase
P11094073A0000|31 47|Vav family proteins
P02868446A0184|31 46|RPase beta subunit
P10742114A0486|31 46|mouse mutant pudgy
P09073074T0000|31 46|FGFR-3 psuedogene
P02175433A0575|31 46|beta A-globin gene
P08132574A0831|31 46|complement C2 gene
P11243306A0961|31 45|oxLDL antibodies
P10518502T0000|31 45|Drosophila nanos
P08037338A0000|31 44|erythropoietin
P10532354A1374|31 44|yeast homologue
P11282395A0530|31 44|RAG1/2 proteins
P09521907A0190|31 44|murine Otx genes
P10429946A0473|31 44|V) collagen gene
P08325639A0129|31 43|20S proteasome
P11110040A0000|31 43|5-HT2 receptor
P09006010A0527|31 43|RsaA C terminus
P02555703T0000|31 43|interleukin-3
P11094072A1234|31 43|RAG-2 promoter
P08631667A0851|31 43|E. coli tmk gene
P09744095A1016|31 43|shy2-1D mutant
P01309587A0715|31 43|BMRF1 promoter
P11391531A1157|31 43|Mdr1b promoter
P01907941A0275|31 42|I kappa B alpha
P07720572A0701|31 42|myoD enhancer
P01436261A0145|31 42|somatostatin
P08440688A1509|31 42|G alpha i genes
P08055941A1264|31 42|beta subunits
P07984105A1509|31 42|WA fyuA mutant
P01569102A0708|31 41|LDL receptor
P10683244A0939|31 41|NBF2 protein
P01963438T0000|31 41|cytochrome c
P09881692A1109|31 41|latent genes
P03065140A0273|31 41|GAL4 protein
P02201905A1004|31 41|ABFI protein
P03612316A0102|31 41|low-protein
P09763421A1199|31 41|Fab1p kinase
P10095061A0592|31 41|MEMA protein
P09515924A0104|31 40|PDH complex
P10512882A0137|31 40|Src kinases
P09857197A0289|31 40|crm1 mutant
P11824801A0661|31 40|interferon
P08625924A0411|31 39|aromatase
P09790499A0545|31 39|hBub1 mRNA
P08808939A0000|31 39|gnt operon
P11029459A0000|31 39|TGF-beta1
P07883167A0157|31 39|UPF3 genes
P10918572A1547|31 39|TGF-alpha
P11078726X0000|31 38|human p53
P08533473A0375|31 38|ADH1 gene
P08223576A1261|31 38|T protein
P09032254A0724|31 38|AP-1 site
P08245125A0822|31 37|F-actin
P09763522A2545|31 37|N-SMase
P11116148A0741|31 37|insulin
P09228092A1779|31 37|dUTPase
P08352268A0000|31 37|epoetin
P00227610A1593|31 37|DBP mRNA
P11152451A0529|31 37|SmSmad2
P09738010A0305|31 37|insulin
P08259650A0640|31 36|HA gene
P08163546A1230|31 36|Ypt51p
P09535833A0228|31 36|m-Staf
P11438666A0555|31 36|TAF(II
P09079928A1319|31 36|P1oxyR
P08332492A0145|31 36|GATA-3
P07518460A0771|31 35|PTP1C
P08035517A0753|31 35|IEP86
P09396796A1173|31 35|CDF-1
P11274149A0625|31 35|U-box
P08986770A0268|31 35|I-POU
P09747873T0000|31 35|GRB10
P10566630A0371|31 35|IGF-I
P11062067A0000|31 35|SAPK1
P07754713A0227|31 35|SPP91
P08262067A1608|31 35|Cdc43
P11376946A0000|31 35|SHP-1
P07936650A1752|31 35|ets-1
P10487040A0453|31 35|MIB-1
P08340400T0000|31 35|RPE65
P11522658A0086|31 35|ErbB2
P09710615T0000|31 35|Vam3p
P01296815A0059|31 34|LD78
P08742135A0000|31 34|ACTH
P10688639A1310|31 34|PU.1
P10810294A0730|31 34|IL-6
P08407784A0850|31 34|srjA
P09915860A0119|31 34|pgp2
P08439564A0883|31 34|TC II
P09884232A0286|31 34|attB
P08035833A1556|31 34|RMIP
P11121434A0915|31 34|Rat1
P09827993A0000|31 34|NCPs
P01850096A0662|31 34|MyoD
P09111314A0970|31 34|cdk4
P09032259A0150|31 34|RhoA
P02107073A0584|31 34|STE4
P09197241A0770|31 34|CD45
P09420275A0682|31 34|CBF2
P09566882A0693|31 34|Pho2
P01688841A0430|31 34|invE
P09858577A1186|31 34|ENA1
P01717718A1255|31 33|Gag
P08994825A0000|31 33|MPF
P03352947T0001|31 33|LAS
P09328833A0588|31 33|HET
P11073870A0375|31 33|PRC
P09528766A0915|31 33|RSK
P10490822A1167|31 33|Ras
P07636984A1349|31 33|SP1
P11274179A0610|31 33|Pak
P01986225A0250|31 33|HSF
P07799931A1232|31 33|Nrl
P10748125A0000|31 33|I-2
P08937981A0840|31 33|p46
P09698457A0778|31 33|Cux
P09092493A0861|31 33|Jak
P02278474A0000|31 33|FDP
P10226029A0905|31 33|Akt
P11260468A1179|31 33|AR1
P07487363A0447|31 33|IgG
P09687511A1091|31 33|BCR
P02595451A1136|31 33|AN2
P01649835A0822|31 33|IBP
P10765095A0308|31 33|PRL
P10026211A0543|31 33|EBP
P07529124A0119|31 32|RT
P11278286A0456|31 32|MR
P01321280A0494|31 32|E6
P08676858A1084|31 32|T2
P00767161A0837|31 32|E2
P01779769A0000|31 31|c
P03025606T0000|32 70|herpes simplex virus type 1 late (gamma 2) gene
P11287578A1311|32 66|macrophage inflammatory protein 1alpha
P07896846T0000|32 65|cellular nucleic acid-binding protein
P09395470A0294|32 62|type II transmembrane glycoprotein
P00216939T0001|32 61|tricarboxylic acid dehydrogenase
P08105994T0000|32 61|serum gamma-glutamyl transferase
P10729151A1160|32 61|HPV-11 upstream regulatory region
P09079650A0136|32 59|extracellular response kinases
P11473254A0000|32 58|topoisomerase and recombinase
P09426595T0000|32 56|saccharopine dehydrogenase
P10834707A1533|32 55|platelet activating factor
P07405701T0000|32 55|platelet monoamine oxidase
P02536160A0518|32 54|Ren1d 5' flanking sequence
P10548434A1549|32 53|polyoma middle T antigens
P11108839A0401|32 53|70 kDa cytoplasmic kinase
P08152800A0709|32 52|full-length ERM protein
P10854699A0424|32 52|full-length FGF-AS mRNA
P10517672A1417|32 52|alpha1-globin promoter
P03243027T0000|32 51|ribosomal protein gene
P10669594A0969|32 51|chimeric SefA proteins
P02839716A1907|32 51|E2-dependent enhancer
P08856132T0000|32 49|intra-uterine kinin
P02353453A1249|32 49|nsP3 homology region
P08583846A0121|32 48|beta-2 transferrin
P00779272T0001|32 48|Epstein-Barr virus
P08083999A0501|32 48|full-length HPV-16
P11011139A0000|32 46|SIN4 gene product
P08637711A1121|32 46|interferon gamma
P07816619A0872|32 46|Dr1-like protein
P01433502A1163|32 45|class I enhancer
P11095248A1523|32 45|mammalian FGF3s
P05536803T0001|32 44|I-131-albumin
P08288554A0295|32 44|mouse HO-1 gene
P09045805A0945|32 44|acoABCD operon
P07761434A1084|32 44|tumor promoter
P08270257A0551|32 43|human nm23-H1
P02123466A0272|32 43|AP-4 HLH motif
P10792583A0000|32 43|V1b receptors
P11851941A0372|32 43|serumalbumin
P07815811A1487b|32 43|endothelin-1
P08093450A0688|32 43|ALAS promoter
P08839832A1220|32 43|CD30v protein
P08955136A0606|32 42|PIP5KIalpha
P08973527A0000|32 42|coat protein
P07887226A0858|32 41|hemoglobin
P10972990A1518|32 41|p53 protein
P09557682A0490|32 41|beta, gamma
P11472696A0387|32 41|fibrinogen
P10524258A0286|32 41|FGFR-1 gene
P09511724A0483|32 41|Dsg protein
P05567721T0000|32 40|factor VII
P09352127A0953|32 40|myoglobin
P09368006A1332|32 40|NF-kappaB
P08443122A0657|32 40|PILOT gene
P03003695A0395|32 40|c-sis cDNA
P09139910A1572|32 39|leuA gene
P01774062A0257|32 39|HLA-DQA1
P11522626A1374|32 39|G(1) gene
P09840943A0144|32 39|cyclin E2
P09572965A1235|32 39|gene agrB
P07897359A0354|32 39|F protein
P11313398A0687|32 39|IIA-ITAM
P11263664T0000|32 39|deltaEF1
P10620335A0749|32 38|COUP-TF
P05034373T0000|32 38|oxidase
P02199311A0620|32 37|ret1-1
P10402022A0432|32 37|20 s(-1
P09717835A0941|32 37|xIRS-u
P11054565A0654|32 37|p190-A
P11596104A0614|32 37|PARNAs
P02601707A0986|32 37|DNase I
P08882710A0000|32 37|ISGF3)
P09049270A0488|32 37|LeMT(B
P10905349A0609|32 37|Rad54p
P01870194A0302|32 36|HIV-1
P07592730A0204|32 36|PTX-3
P09359887A1168|32 36|Rat7p
P08980536A1196|32 36|H-box
P08530149A0689|32 36|c-myc
P08862522A0690|32 36|cdc28
P08441411A1260|32 36|Gfi-1
P03263465T0000|32 36|H-2Lq
P10933732A0000|32 36|HHV-8
P10891489A0152|32 36|HMG-I
P07957085A0207|32 36|Cbf3b
P07659085A1520|32 36|Oct-1
P10375638A0859|32 36|NRF-1
P07748952A0462|32 36|PmiaA
P08157009A0264|32 36|Aps1p
P09804779A1163|32 36|Stat5
P09840932A0365|32 36|B-Myb
P07559347A0000|32 36|bglPH
P10681520A0525|32 36|v-Src
P08065366A0918|32 36|Dbf8p
P09575217A0971|32 36|Stat5
P03065141A0448|32 35|citA
P08524235A0695|32 35|dMax
P11127200A1024|32 35|AP-1
P07624119A0528|32 35|FKHR
P11012568A0192|32 35|ACTH
P10330134A0765|32 35|RFX3
P09067577A0307|32 35|CRKL
P09736697A0783|32 35|MEK1
P11049241A0659|32 35|PP14
P11075929A1657|32 35|ThlA
P08943032A0000|32 35|TetR
P07999982A0086|32 35|FRDA
P11196191A1789|32 35|IL-6
P08264617A0000|32 35|EGFR
P11331604A0267|32 35|Gcn4
P10865838A0000|32 35|VEGF
P11221845A1370|32 35|mlt 1
P10841537A0669|32 35|RPB5
P10792718T0000|32 35|BarX
P10498706A1219|32 35|PecS
P09611229A1664|32 35|FAS1
P10713083A0170|32 35|TraR
P07608268A0194|32 35|GnRH
P08163183T0000|32 35|xylA
P03540853A0652|32 34|Mop
P08649393A0000|32 34|ctf
P10574992A0901|32 34|CBP
P10688660A0992|32 34|CBP
P10505694A0739|32 34|C3a
P09269900A1035|32 34|EGF
P09466267A1192|32 34|IHF
P09341158A0167|32 34|mu1
P06582285A0222|32 34|U-P
P10477583A0000a|32 34|BCR
P10477583A0000b|32 34|BCR
P02500432A1416|32 34|CAT
P09627285A0554|32 34|FSH
P10931524A0313|32 34|Gtx
P08626493A1468|32 34|CR2
P01551568A1476|32 34|ts8
P09585253A1147|32 34|raf
P09050861A0903|32 34|DEK
P10910908A0767|32 34|Akt
P11438651A1365|32 34|HML
P11278855A0205|32 34|TLS
P07493627A0882|32 34|RAR
P10891093A0000|32 34|H(+
P07935370A0000|32 34|CD8
P07543684A1027|32 34|PKA
P10517666A1069|32 33|GR
P07803809A1852|32 33|Ep
P08251622A0000|33 69|Brassica napus 2S storage protein napA gene
P03025655T0000|33 66|cytoplasmic protein-tyrosine kinases
P01649318A1222|33 64|EBNA-2-responsive cell DNA fragment
P10487744T0000|33 62|beta2 integrin cytoplasmic domain
P08626785A0674|33 62|tissue transglutaminase promoter
P11313249T0000|33 61|CCAAT/enhancer-binding protein
P09358045A0000|33 61|transforming growth factor-beta
P07721878A1163|33 60|33-kDa tyrosine phosphoprotein
P01527020A0511|33 59|rat AdoMet decarboxylase genes
P09402139A1121|33 57|phosphoenolpyruvate kinase
P08123787A0554|33 57|cyanobacterial HemB protein
P08661007T0000|33 55|carbonic anhydrase family
P06111283T0032|33 55|des-Tyr-gamma-endorphin
P08820648A0123|33 55|ribonucleotide reductase
P07592647T0000|33 53|retinoblastoma protein
P01427034A0440|33 53|ribosomal protein genes
P08063766A0595|33 53|nuclear envelope lamin B
P07761091A0294|33 52|a specific phosphatase
P10650939A1542|33 52|progesterone receptor
P09488491A0000|33 52|retinoblastoma family
P01620129A0417|33 51|nuclear factor HiNF-D
P09472608A0253|33 51|cellular protein YB-1
P10405635A0374|33 51|full-length promoter
P08707922A0334|33 50|rat II beta-, III beta
P03682805A0375|33 50|coagulation protein
P01709933T0000|33 50|rat chromosomal gene
P02870720A0188|33 49|beta-adrenoceptor
P09121452A0538|33 49|C/EBP beta proteins
P08413215A0327|33 49|NF-kappa B subunits
P08144037A0000|33 49|dithiol-reductase
P07533880T0000|33 48|FinP antisense RNA
P07814388A0662|33 48|wild type or mutant
P09369451A0693|33 48|AP-1 like sequence
P08021225A0000|33 46|EcoRI-fragment
P01447189A1546|33 46|serine protease
P10756007A1512|33 46|Rep-DNA complex
P09949178A0264|33 45|interleukin-6
P10488088T0000|33 45|bcl-2 promoter
P09731704A1472|33 45|delta5ERalpha
P09050847A0180|33 44|TAF complexes
P08200528A0970|33 44|Tn903 neo gene
P08917449A0000|33 44|neuropoietin
P09427627T0000|33 44|PDGF receptor
P11121397A0587|33 44|rib-2 protein
P08189533A0203|33 44|gene 5 product
P07672821A0763|33 44|factor H genes
P02016053A0752|33 43|E74A protein
P09869297A1807|33 43|CE2 elements
P11881923A1256|33 43|haptoglobin
P11382701A0688|33 43|vasopressin
P10836786A0516|33 43|RNA subunits
P08361754A0733|33 43|b-Zip domain
P10559324A0716|33 43|Ad5 E4orf6/7
P07963540A0795|33 43|kappa B motif
P03049570A1242|33 42|E2 proteins
P11160683A1220|33 42|C/EBP dimer
P07511496A1511|33 42|E-selectin
P10496284A0115|33 42|CSF protein
P11437660A1219|33 42|C-terminus
P10944466A0451|33 42|WNT-2B gene
P11108720A0124|33 42|core kinase
P08349104A0000|33 42|GAL10 genes
P08683106A0374|33 42|STAT1 alpha
P10961046A0342|33 42|fibrinogen
P01358190A0654|33 41|H-2E beta k
P07737508A0649|33 41|tRNA genes
P10534402A0126|33 41|mouse gene
P09305870A0894|33 41|PDZ domain
P11202434T0000|33 41|acyl-CoA-
P09556573A1062|33 41|PPARalpha
P10521447A1190|33 41|CBFalpha1
P09006022A0252|33 40|cvaA gene
P10749932A0000|33 40|integrin
P01392012A0228|33 40|oxytocin
P11040101A1180|33 40|IL-1 beta
P02024488A0506|33 39|nef gene
P07935468T0000|33 39|a kinase
P08389074A1227|33 39|EIAV Tat
P01000378T0000|33 39|insulin
P07673154A0688|33 39|CAK beta
P02557350A0632|33 39|SRP54sc
P08816482A0234|33 38|Stat5a
P01901405A0694|33 38|AT-BP1
P11139336A0257|33 38|INCENP
P10224257A0079|33 38|her-1b
P09726988A0275|33 38|M-CPT I
P00030183T0000|33 38|HLA-B5
P01674817A0862|33 37|RNA15
P08709224T0000|33 37|EBNA2
P08604338A0885|33 37|FLI-1
P08676454A0731|33 37|ICP35
P09566876A0000|33 37|TFIIA
P07526609A0736|33 37|3'UTR
P08537403A0336|33 37|LIMK2
P08985115A1571|33 37|37LRP
P01848300A0910|33 36|cstA
P08662928T0000|33 36|IL-6
P10376874A0759|33 36|eRF1
P09159183A0119|33 36|OBFs
P08183915A0000|33 36|p105
P11238405A0817|33 36|atf1
P09632734A0943|33 36|ERK2
P01886774A0000|33 36|Oct3
P08622698T0000|33 36|CBF1
P11090172A0612|33 36|RNA3
P09407031A0974|33 36|Chk1
P08188603A0230|33 36|arg4
P08657150A1049|33 36|NCE3
P02143186A1306|33 36|AHA2
P09368026A0435|33 36|Msx2
P08441423A0145|33 36|GCD6
P03499657A0000|33 36|sBGP
P08522511A1578|33 36|pelB
P07326596A0061|33 35|IgE
P09003462A0792|33 35|SL1
P11281268A0000|33 35|AKs
P01158512T0000|33 35|G-6
P10556046A0328|33 35|BMP
P09652742A0455|33 35|p53
P09032259A0972|33 35|SRF
P08072547A1009|33 35|JNK
P08070393A0631|33 35|EGF
P10518561A0885|33 35|Tec
P10347197A0502|33 35|HGF
P11367523A1684|33 35|C4B
P11912261A0284|33 35|PTH
P09538220A0000|33 35|mrr
P07862533A0000|33 35|WT1
P08223875A0711|33 35|CD3
P11413148A0573|33 35|SH2
P09398332A0732|33 35|mu2
P09343426A0456|33 35|Zta
P07696183A0567|33 35|Rak
P09234717A0000|33 35|Cbl
P10713176A0885|33 34|Rb
P00209664A0836|33 34|LH
P10637149A0806|33 34|RD
P09488441A0615|34 66|immunoglobulin kappa-chain enhancer
P08869825A0000|34 64|flavin-containing monooxygenases
P07835088A0238|34 63|types I and II 3 beta-HSD isoenzymes
P07876194T0000|34 63|epidermal growth factor receptors
P11451995T0000|34 62|Saccharomyces cerevisiae Ste14p
P10679065A0711|34 62|MAPK-activated protein kinase-2
P11018028A0263|34 60|cAMP-dependent protein kinase
P08643578A0000|34 60|Saccharomyces cerevisiae Ras2
P08621719A0000|34 59|c-cbl proto-oncogene product
P09786926A0095|34 59|fatty-acid synthase promoter
P10094396A0000|34 59|protein kinase casein kinase 2
P02685331A0523|34 57|K. pneumoniae nifH promoter
P11111051A0051|34 57|histone acetyltransferase
P05763347T0000|34 57|beta-adrenergic receptors
P09328824A0000|34 57|retroviral v-erbA oncogene
P08160905A0217|34 57|hepatitis B surface antigen
P09168892A1016|34 57|AP-1 cis-response elements
P10218109T0000|34 57|MutT pyrophosphohydrolase
P05794247T0000|34 55|serum lipoprotein lipase
P09400613A0594|34 54|Gal4 DNA-binding domain
P09733794A1323|34 54|Bcl-2-related proteins
P08702826A0870|34 53|GSTP1 silencer element
P09827878A0091|34 52|superoxide dismutase
P10393969A0000|34 52|herpes simplex virus 1
P10628750T0000|34 52|NF)-kappaB1 isoforms
P10209119A0076|34 52|cullin-family member
P01767592A0682|34 51|DNA binding proteins
P06131038A0000|34 50|lipoprotein lipase
P08028671A0687|34 50|anti-CBP antiserum
P10228561A0539|34 50|DNA polymerase beta
P09108029A0399|34 50|activator protein 1
P11435688A0262|34 50|ATP-binding domain
P07823964A0922|34 49|N-terminal domain
P09632734A0081|34 49|C-terminal region
P07506253A0742|34 49|TK basal promoters
P09799634A0161|34 49|C-terminal domain
P08484689T0000|34 49|rheumatoid factor
P07739544A0364|34 48|SGC1 gene product
P10532805A1084|34 47|protein kinase A
P09012636A0723|34 47|HDL cholesterol
P02237431A0000|34 46|TCR) alpha gene
P10393251T0000|34 46|HOX11 oncogene
P09190202A0166|34 46|Sec23p protein
P10666238A1322|34 46|E2F-1 promoter
P10333481A1102|34 45|UCP2 promoter
P10359792A0610|34 44|Rpd3 mutants
P11030744A0763|34 44|his7/dpm1(+
P01406688A0898|34 44|rap1t allele
P09757012A0942|34 43|KS5 protein
P10865422A0138|34 43|hemoglobin
P08978817A0620|34 43|dim1-delta
P10694511A0570|34 43|mid1 mutant
P09303437A0875|34 43|hCRBP1 gene
P08356792A1275|34 43|N-terminus
P09315651T0000|34 43|R-FABP gene
P11830544A0335|34 43|neu antigen
P08506384A0146|34 43|eIF-2 alpha
P07864652A0753|34 43|E2L1(1-98)
P09268652A0116|34 42|dsRBP-ZFa
P10366722T0000|34 42|gene Pole1
P08294459A0446|34 42|SAP-1 cDNA
P07853524A1944|34 41|thrombin
P10857751A0304|34 41|Smarcal1
P10397257A1142|34 41|Sp1 sites
P10441506A0098|34 41|PKNalpha
P11014821T0000|34 41|Doa locus
P09344650A0967|34 41|Casr-rs2
P10073940A0335|34 41|Wingless
P11238916A0838|34 41|paxillin
P07969181A0313|34 40|CKB mRNA
P09223479A1193|34 40|serpins
P08496599A0310|34 40|BGP gene
P09704927A0479|34 40|E2Fs 1-5
P01398106A0754|34 39|I-CreI
P11160738A1414|34 39|vIRF-2
P10541865A1301|34 39|CDKN2A
P11034547A1355|34 39|NBPhox
P06379363A0415|34 39|HDL-2M
P02437792T0000|34 39|lipase
P08416977A0892|34 38|CTDK2
P10861086A0904|34 38|a-Src
P09204570A0110|34 38|nmhC5
P09623830A0000|34 38|Botox
P09341193A0362|34 38|Egr-1
P07508954A0000|34 38|ABC-P
P09556561A0671|34 38|Gar1p
P01321337A1161|34 37|cna2
P10721704A1155|34 37|mHuA
P10671519A0641|34 37|MAN1
P11438654A1237|34 37|Gab1
P10409741A0382|34 37|CDC4
P09389137A0763|34 37|C1-7
P01626430A1112|34 37|SNF2
P08182056A0695|34 37|NQO2
P09121454A1328|34 37|mot1
P08816483A0869|34 37|RIC3
P10913304A0894|34 37|Ets2
P08454591A1322|34 37|IL-1
P07862108A0987|34 36|TEP
P09431812A0576|34 36|Ptc
P07891713T0000|34 36|Fos
P08962614A0000|34 36|IgE
P11606538A1002|34 36|Nrk
P10640683A0204|34 36|PKN
P10419521A0136|34 36|ELL
P10464310A0218|34 36|Crk
P11150315A0844|34 36|ERK
P01870428A0677|34 36|HDL
P10706887A0281|34 36|ALK
P10602507A0652|34 36|p21
P09714835A0345|34 36|CPD
P08642285A1548|34 36|Bcr
P09645961A1158|34 36|CBF
P08918464A0225|34 36|BaF
P10413676A0595|34 36|FAK
P08662617A2051|34 36|HIP
P08931991A1026|34 36|E2F
P10713175A1399|34 36|ARF
P08428965A1868|34 35|tk
P11278286A0456|34 35|GR
P10598101A0000|34 35|O2
P03298134A0000|35 76|interferon alfa-2b (Intron A; Schering-Plough)
P07800505T0000|35 72|human 85 kDa cytosolic phospholipase A2 gene
P07702327T0000|35 71|recombinant tissue plasminogen activator
P09579808A0000|35 71|1,2-N-acetylglucosaminyltransferase II
P10951848A0230|35 69|granulocyte-colony stimulating factor
P08386280T0000|35 68|Rous sarcoma virus long terminal repeat
P03595418A0688|35 67|murine ornithine decarboxylase mRNAs
P08029001A1020|35 63|proline-rich activator proteins
P09524276A0939|35 61|urease in Klebsiella aerogenes
P10848993A0000|35 61|methylmalonyl-CoA mutase gene
P10572087A0326|35 60|Fanconi anemia group C protein
P02528329A0000|35 60|Escherichia coli F1F0-ATPase
P08994825A0000|35 59|maturation promoting factor
P10752807A1598|35 59|platelet-activating factor
P09649537A0000|35 59|yeast GCN2 eIF-2alpha kinase
P07999363A0000|35 58|transmembrane FGF receptor
P03016883A0000|35 57|herpes simplex virus type 2
P10428862A0834|35 57|DokR-specific antibodies
P08491383A1291|35 57|telomere-binding protein
P09573187T0000|35 56|LysR-type regulator CatR
P07982964A1017|35 56|type I phosphodiesterase
P08301702A1083|35 55|rat cytochrome P-450 1A1
P01301171A0979|35 55|c-myc bearing sequences
P10541432A0185|35 55|epidermal growth factor
P10704853T0000|35 55|Nodal-related proteins
P10727515A1202|35 55|G(q)-coupled receptors
P01224116A0576|35 54|serum immunoglobulins
P07730336A0606|35 54|cAMP response elements
P08429019A2022|35 54|YY1 consensus sequence
P02452313A0114|35 53|beta-adrenoreceptor
P09869400A0203|35 53|germin-like proteins
P08276854A1894|35 53|decorin gene promoter
P10574929A0583|35 53|47-kDa P-CIP2 protein
P02604420A0234|35 53|reticulin antibodies
P09294139A0729|35 52|human HS12 enhancers
P02989786A0328|35 51|adenovirus E1A gene
P08798893A0611|35 51|bovine lactalbumin
P11058119A0957|35 51|cytoplasmic GTPase
P02023097A0000|35 50|HIV-1) Rev protein
P07937147A0205|35 50|pi protein mutants
P02630543A0210|35 50|anti-T antibodies
P07862168A0000|35 49|IL-2R alpha) gene
P01687050T0000|35 49|immunoglobulin G
P09088371T0000|35 49|antithrombin III
P07836218A0128|35 48|beta-endorphin
P08395010T0000|35 48|thyroid hormone
P10825200T0000|35 47|interleukin-2
P02233715A0914|35 47|IL-6 construct
P11389085A0290|35 46|MEN 2A type RET
P09892642A0172|35 46|HPV E2 protein
P09858713A1174|35 46|wild-type Pan
P11517445A0221|35 46|V. cholerae O1
P08732665A0000|35 46|c-erbB-2 gene
P01399206A0375|35 45|collagenase
P07528772A1539|35 45|TAM peptides
P09391173A0811|35 45|ACCase genes
P10103002A0705|35 45|chicken gp42
P03186091T0000|35 45|oxytocinase
P09698457A0778|35 45|CDPDeltaCR1
P08405433A0000|35 45|IGF-II) gene
P09480831A0272|35 45|human AM gene
P08576131A0685|35 45|USF subunits
P10229084A0000|35 45|anti-p59fyn
P01717718A1255|35 45|Pol PR domain
P02115118A0565|35 44|smg p25A GDI
P08918810A0967|35 44|OxyR-C199S
P03179496T0000|35 44|hemoglobin
P11024036A0984|35 44|C/EBP alpha
P08253387A1291|35 44|hLEF HMG box
P00993176A0066|35 44|hemoglobin
P07496400A0525|35 43|HMGR1 mRNA
P09694599A1355|35 43|IL-1alpha
P08034680A0180|35 43|NF-kappa B
P10395920A1424|35 43|ATF family
P10935488A1033|35 43|PPARgamma
P10026229A0950|35 43|Engrailed
P09678579A0768|35 43|AtCP1 gene
P08337841A0612|35 42|GNS genes
P09094671A1192|35 42|p16INK4a
P01702361A0621|35 42|collagen
P11278610A0902|35 42|Cullin-2
P10497117A0358|35 42|V protein
P10225279A0450|35 42|MDV2 UL54
P09641167A1359|35 42|IL-1beta
P07729427A0942|35 42|hTAFII18
P11145887A1393|35 42|AP-1 site
P08706662A1125|35 42|perforin
P01549125A0140|35 41|insulin
P11416012A2511|35 41|insulin
P10319320A1022|35 41|16K hPRL
P10526670A0236|35 41|F-actin
P01716292A0000|35 41|HLA-DR1
P09789025A0149|35 41|Galphai
P02543679A1291|35 41|lambda O
P10823837A1213|35 41|YLL031c
P03276246A0037|35 41|albumin
P11085267A0562|35 40|sconB+
P11335116A1099|35 40|BmHR3A
P08806817A0716|35 40|SpSHR2
P10074520T0000|35 40|IS2404
P09488713A0886|35 40|Site-1
P08887661A1061|35 39|IRF-1
P10228009A0600|35 39|IEC-6
P09010223A0667|35 39|SAP1a
P10935880A1049|35 39|PI-3V
P01538403A1058|35 39|TFIID
P11602353A0770|35 39|HFH-3
P09364750T0000|35 39|SUP45
P09710641A0000|35 39|Pax-6
P08280476A0602|35 39|HIV-1
P09073582A0444|35 39|BglII
P10439040A0658|35 39|c-myc
P02784507A0000|35 39|HIV-1
P07935472A0790|35 39|Ets-1
P11259593A1094|35 39|Ace2p
P10531446A0203|35 39|ErbB4
P07595221A0733|35 39|CIITA
P10918572A0794|35 39|ErbB2
P03011793A0582|35 38|rbsC
P06227570A0523|35 38|ConA
P09834070A0793|35 38|ERK2
